timestamp,hourly_demand_m3h,fourier_sin,fourier_cos
2025-08-03 00:00:00,43.14626666666666,-0.7818314824680299,0.6234898018587334
2025-08-03 01:00:00,33.65253333333333,-0.7579717231454534,0.6522874112781207
2025-08-03 02:00:00,29.9413,-0.7330518718298269,0.6801727377709188
2025-08-03 03:00:00,27.80043333333333,-0.7071067811865477,0.7071067811865474
2025-08-03 04:00:00,29.450325,-0.6801727377709191,0.7330518718298266
2025-08-03 05:00:00,32.345866666666666,-0.6522874112781211,0.757971723145453
2025-08-03 06:00:00,41.1646,-0.6234898018587337,0.7818314824680297
2025-08-03 07:00:00,52.97296666666667,-0.593820185573502,0.804597779766668
2025-08-03 08:00:00,65.4321,-0.5633200580636227,0.8262387743159945
2025-08-03 09:00:00,79.72749999999999,-0.5320320765153368,0.846724199228284
2025-08-03 10:00:00,85.74043333333334,-0.5000000000000004,0.8660254037844384
2025-08-03 11:00:00,80.66876666666667,-0.4672686282730619,0.8841153935046098
2025-08-03 12:00:00,78.435,-0.4338837391175583,0.900968867902419
2025-08-03 13:00:00,77.32793333333333,-0.3998920243197414,0.916562255869976
2025-08-03 14:00:00,69.1092,-0.3653410243663949,0.9308737486442042
2025-08-03 15:00:00,71.62293333333334,-0.3302790619551673,0.9438833303083676
2025-08-03 16:00:00,71.31876666666666,-0.2947551744109047,0.9555728057861406
2025-08-03 17:00:00,70.9446,-0.2588190451025207,0.9659258262890684
2025-08-03 18:00:00,75.460025,-0.2225209339563146,0.9749279121818236
2025-08-03 19:00:00,74.88543333333332,-0.1859116071629151,0.9825664732332882
2025-08-03 20:00:00,88.12543333333333,-0.1490422661761752,0.9888308262251284
2025-08-03 21:00:00,99.21626666666668,-0.1119644761033089,0.9937122098932424
2025-08-03 22:00:00,82.18,-0.0747300935864239,0.99720379718118
2025-08-03 23:00:00,59.28586666666666,-0.0373911942763255,0.9993007047883986
2025-08-04 00:00:00,40.74543333333333,0.0,1.0
2025-08-04 01:00:00,33.4422,0.0373911942763256,0.9993007047883984
2025-08-04 02:00:00,30.090433333333333,0.0747300935864242,0.99720379718118
2025-08-04 03:00:00,30.336266666666663,0.1119644761033078,0.9937122098932426
2025-08-04 04:00:00,31.490466666666663,0.1490422661761744,0.9888308262251284
2025-08-04 05:00:00,38.129375,0.1859116071629145,0.9825664732332884
2025-08-04 06:00:00,67.2825,0.2225209339563144,0.9749279121818236
2025-08-04 07:00:00,86.64170000000001,0.2588190451025207,0.9659258262890684
2025-08-04 08:00:00,87.49876666666667,0.2947551744109042,0.9555728057861408
